Designator,Mid X,Mid Y,Rotation,Layer
5V_2,12.5358,-35.0,0.0,top
5V,102.5358,-35.0,0.0,top
D1,25.0,-25.0,180.0,top
D10,35.0,-85.0,180.0,top
D11,35.0,-75.0,180.0,top
D12,35.0,-65.0,180.0,top
D13,35.0,-55.0,180.0,top
D14,35.0,-45.0,180.0,top
D15,35.0,-35.0,180.0,top
D16,35.0,-25.0,180.0,top
D17,45.0,-25.0,180.0,top
D18,45.0,-35.0,180.0,top
D19,45.0,-45.0,180.0,top
D2,25.0,-35.0,180.0,top
D20,45.0,-55.0,180.0,top
D21,45.0,-65.0,180.0,top
D22,45.0,-75.0,180.0,top
D23,45.0,-85.0,180.0,top
D24,45.0,-95.0,180.0,top
D25,55.0,-95.0,180.0,top
D26,55.0,-85.0,180.0,top
D27,55.0,-75.0,180.0,top
D28,55.0,-65.0,180.0,top
D29,55.0,-55.0,180.0,top
D3,25.0,-45.0,180.0,top
D30,55.0,-45.0,180.0,top
D31,55.0,-35.0,180.0,top
D32,55.0,-25.0,180.0,top
D33,65.0,-25.0,180.0,top
D34,65.0,-35.0,180.0,top
D35,65.0,-45.0,180.0,top
D36,65.0,-55.0,180.0,top
D37,65.0,-65.0,180.0,top
D38,65.0,-75.0,180.0,top
D39,65.0,-85.0,180.0,top
D4,25.0,-55.0,180.0,top
D40,65.0,-95.0,180.0,top
D41,75.0,-95.0,180.0,top
D42,75.0,-85.0,180.0,top
D43,75.0,-75.0,180.0,top
D44,75.0,-65.0,180.0,top
D45,75.0,-55.0,180.0,top
D46,75.0,-45.0,180.0,top
D47,75.0,-35.0,180.0,top
D48,75.0,-25.0,180.0,top
D49,85.0,-25.0,180.0,top
D5,25.0,-65.0,180.0,top
D50,85.0,-35.0,180.0,top
D51,85.0,-45.0,180.0,top
D52,85.0,-55.0,180.0,top
D53,85.0,-65.0,180.0,top
D54,85.0,-75.0,180.0,top
D55,85.0,-85.0,180.0,top
D56,85.0,-95.0,180.0,top
D57,95.0,-95.0,180.0,top
D58,95.0,-85.0,180.0,top
D59,95.0,-75.0,180.0,top
D6,25.0,-75.0,180.0,top
D60,95.0,-65.0,180.0,top
D61,95.0,-55.0,180.0,top
D62,95.0,-45.0,180.0,top
D63,95.0,-35.0,180.0,top
D64,95.0,-25.0,180.0,top
D7,25.0,-85.0,180.0,top
D8,25.0,-95.0,180.0,top
D9,35.0,-95.0,180.0,top
Din,12.5358,-27.5,0.0,top
Dout,102.53575,-27.5,0.0,top
GND,12.5358,-20.0,0.0,top
TP3,102.5358,-20.0,0.0,top
